User, Item, Rating, weather:sunny, weather:cloudy, rain:no, rain:yes, visibility:1, temperature:>30 < 35, temperature:<30, clouds:0, clouds:1
u16,i16,4,1,0,0,1,1,0,1,1,0
u1,i8,4,1,0,1,0,1,1,0,1,0
u5,i12,4,1,0,1,0,1,1,0,1,0
u1,i6,2,1,0,1,0,1,1,0,1,0
u15,i15,1,1,0,0,1,1,0,1,0,1
u3,i3,3,1,0,1,0,1,1,0,1,0
u20,i20,4,0,1,0,1,1,0,1,1,0
u19,i19,5,1,0,0,1,1,0,1,1,0
u9,i9,5,1,0,1,0,1,1,0,1,0
u1,i5,4,1,0,1,0,1,1,0,1,0
u18,i18,1,1,0,0,1,1,0,1,1,0
u5,i5,4,1,0,1,0,1,1,0,1,0
u6,i6,2,1,0,1,0,1,1,0,1,0
u4,i4,2,1,0,1,0,1,1,0,1,0
u1,i1,4,1,0,1,0,1,1,0,1,0
u1,i7,2,1,0,1,0,1,1,0,1,0
u11,i11,1,1,0,0,1,1,0,1,0,1
u17,i17,3,0,1,0,1,1,0,1,1,0
u2,i9,4,1,0,1,0,1,1,0,1,0
u6,i13,2,1,0,1,0,1,1,0,1,0
u1,i3,3,1,0,1,0,1,1,0,1,0
u1,i4,2,1,0,1,0,1,1,0,1,0
u7,i14,2,1,0,1,0,1,1,0,1,0
u14,i14,5,1,0,0,1,1,0,1,0,1
u13,i13,5,1,0,0,1,1,0,1,0,1
u1,i2,4,1,0,1,0,1,1,0,1,0
u10,i10,5,1,0,1,0,1,1,0,1,0
u4,i11,2,1,0,1,0,1,1,0,1,0
u8,i8,5,1,0,1,0,1,1,0,1,0
u3,i10,3,1,0,1,0,1,1,0,1,0
u2,i2,4,1,0,1,0,1,1,0,1,0
u12,i12,5,1,0,0,1,1,0,1,0,1
u7,i7,2,1,0,1,0,1,1,0,1,0
