userID,itemID,rating,weather,rain,visibility,temperature,clouds
u1,i1,4,sunny,no,1,>30 < 35,0
u2,i2,4,sunny,no,1,>30 < 35,0
u3,i3,3,sunny,no,1,>30 < 35,0
u4,i4,2,sunny,no,1,>30 < 35,0
u5,i5,4,sunny,no,1,>30 < 35,0
u6,i6,2,sunny,no,1,>30 < 35,0
u7,i7,2,sunny,no,1,>30 < 35,0
u8,i8,5,sunny,no,1,>30 < 35,0
u9,i9,5,sunny,no,1,>30 < 35,0
u10,i10,5,sunny,no,1,>30 < 35,0
u11,i11,1,sunny,yes,1,<30,1
u12,i12,5,sunny,yes,1,<30,1
u13,i13,5,sunny,yes,1,<30,1
u14,i14,5,sunny,yes,1,<30,1
u15,i15,1,sunny,yes,1,<30,1
u16,i16,4,sunny,yes,1,<30,0
u17,i17,3,cloudy,yes,1,<30,0
u18,i18,1,sunny,yes,1,<30,0
u19,i19,5,sunny,yes,1,<30,0
u20,i20,4,cloudy,yes,1,<30,0
u1,i8,4,sunny,no,1,>30 < 35,0
u2,i9,4,sunny,no,1,>30 < 35,0
u3,i10,3,sunny,no,1,>30 < 35,0
u4,i11,2,sunny,no,1,>30 < 35,0
u5,i12,4,sunny,no,1,>30 < 35,0
u6,i13,2,sunny,no,1,>30 < 35,0
u7,i14,2,sunny,no,1,>30 < 35,0
u8,i8,5,sunny,no,1,>30 < 35,0
u9,i9,5,sunny,no,1,>30 < 35,0
u10,i10,5,sunny,no,1,>30 < 35,0
u11,i11,1,sunny,yes,1,<30,1
u12,i12,5,sunny,yes,1,<30,1
u13,i13,5,sunny,yes,1,<30,1
u14,i14,5,sunny,yes,1,<30,1
u15,i15,1,sunny,yes,1,<30,1
u16,i16,4,sunny,yes,1,<30,0
u17,i17,3,cloudy,yes,1,<30,0
u18,i18,1,sunny,yes,1,<30,0
u19,i19,5,sunny,yes,1,<30,0
u20,i20,4,cloudy,yes,1,<30,0
u1,i1,4,sunny,no,1,>30 < 35,0
u1,i2,4,sunny,no,1,>30 < 35,0
u1,i3,3,sunny,no,1,>30 < 35,0
u1,i4,2,sunny,no,1,>30 < 35,0
u1,i5,4,sunny,no,1,>30 < 35,0
u1,i6,2,sunny,no,1,>30 < 35,0
u1,i7,2,sunny,no,1,>30 < 35,0
u8,i8,5,sunny,no,1,>30 < 35,0
u9,i9,5,sunny,no,1,>30 < 35,0
u10,i10,5,sunny,no,1,>30 < 35,0
u11,i11,1,sunny,yes,1,<30,1
u12,i12,5,sunny,yes,1,<30,1
u13,i13,5,sunny,yes,1,<30,1
u14,i14,5,sunny,yes,1,<30,1
u15,i15,1,sunny,yes,1,<30,1
u16,i16,4,sunny,yes,1,<30,0
u17,i17,3,cloudy,yes,1,<30,0
u18,i18,1,sunny,yes,1,<30,0
u19,i19,5,sunny,yes,1,<30,0
u20,i20,4,cloudy,yes,1,<30,0
